Nama Pennguna,Teks Ulasan,Rating,Waktu Ulasan,casefolding,cleaning,stopword_removal,tokenizing,stemming
Zhade Wornop,baik,4,7/5/2025 12:57,baik,baik,baik,['baik'],baik
Mas Arie,dana memang cepat buat tranfer,5,7/5/2025 12:53,dana memang cepat buat tranfer,dana memang cepat buat tranfer,dana memang cepat buat tranfer,"['dana', 'memang', 'cepat', 'buat', 'tranfer']",dana memang cepat buat tranfer
Adit qurniawan,"dompet digital terbaik tpi syang bertahun tahun dan transaksi setiap hri tetapi dana cicil tidak muncul ,dan sudah melakukan pengajuan tetap saja tidak ada dana cicil",5,7/5/2025 12:49,"dompet digital terbaik tpi syang bertahun tahun dan transaksi setiap hri tetapi dana cicil tidak muncul ,dan sudah melakukan pengajuan tetap saja tidak ada dana cicil",dompet digital terbaik tpi syang bertahun tahun dan transaksi setiap hri tetapi dana cicil tidak muncul dan sudah melakukan pengajuan tetap saja tidak ada dana cicil,dompet digital terbaik tpi syang bertahun tahun transaksi hri dana cicil muncul melakukan pengajuan tetap dana cicil,"['dompet', 'digital', 'terbaik', 'tpi', 'syang', 'bertahun', 'tahun', 'transaksi', 'hri', 'dana', 'cicil', 'muncul', 'melakukan', 'pengajuan', 'tetap', 'dana', 'cicil']",dompet digital baik tpi syang tahun tahun transaksi hri dana cicil muncul laku aju tetap dana cicil
Adam Maulana,dana gk aman tabungan ilang sendiri,1,7/5/2025 12:48,dana gk aman tabungan ilang sendiri,dana gk aman tabungan ilang sendiri,dana gk aman tabungan ilang sendiri,"['dana', 'gk', 'aman', 'tabungan', 'ilang', 'sendiri']",dana gk aman tabung ilang sendiri
riyanto cdj4156,knpa dana cicil saya belum ada di aplikasi dana. padahal saya pengguna aktif dan sudah lama,2,7/5/2025 12:46,knpa dana cicil saya belum ada di aplikasi dana. padahal saya pengguna aktif dan sudah lama,knpa dana cicil saya belum ada di aplikasi dana padahal saya pengguna aktif dan sudah lama,knpa dana cicil aplikasi dana padahal pengguna aktif lama,"['knpa', 'dana', 'cicil', 'aplikasi', 'dana', 'padahal', 'pengguna', 'aktif', 'lama']",knpa dana cicil aplikasi dana padahal guna aktif lama
Muhammad Ghifari,"penyelesaiannya gmna udah beberapa hari ga bisa login dana ,udah konfirmasi lewat email tetep aja masi gada solusi",2,7/5/2025 12:44,"penyelesaiannya gmna udah beberapa hari ga bisa login dana ,udah konfirmasi lewat email tetep aja masi gada solusi",penyelesaiannya gmna udah beberapa hari ga bisa login dana udah konfirmasi lewat email tetep aja masi gada solusi,penyelesaiannya gmna udah beberapa hari ga login dana udah konfirmasi lewat email tetep aja masi gada solusi,"['penyelesaiannya', 'gmna', 'udah', 'beberapa', 'hari', 'ga', 'login', 'dana', 'udah', 'konfirmasi', 'lewat', 'email', 'tetep', 'aja', 'masi', 'gada', 'solusi']",selesai gmna udah beberapa hari ga login dana udah konfirmasi lewat email tetep aja mas gada solusi
Sri Wijayanti,lama buwat bukak pesan,1,7/5/2025 12:43,lama buwat bukak pesan,lama buwat bukak pesan,lama buwat bukak pesan,"['lama', 'buwat', 'bukak', 'pesan']",lama buwat bukak pesan
Tiopan Martua,"saya mengalami transaksi berhasil tapi dana TDK masuk,saya sebagai penerima",1,7/5/2025 12:40,"saya mengalami transaksi berhasil tapi dana tdk masuk,saya sebagai penerima",saya mengalami transaksi berhasil tapi dana tdk masuksaya sebagai penerima,mengalami transaksi berhasil dana tdk masuksaya penerima,"['mengalami', 'transaksi', 'berhasil', 'dana', 'tdk', 'masuksaya', 'penerima']",alami transaksi hasil dana tdk masuksaya terima
Aan Susanto,kenapa dana saya tidak dapat untuk ngirim uang ke teman,5,7/5/2025 12:32,kenapa dana saya tidak dapat untuk ngirim uang ke teman,kenapa dana saya tidak dapat untuk ngirim uang ke teman,dana ngirim uang teman,"['dana', 'ngirim', 'uang', 'teman']",dana ngirim uang teman
Jorris Geren,"saya sudah sering transaksi dan dana saya sudah premium,kenapa setiap saya minta muncul kan dana cicil jawaban nya trus tunggu 30 hari kedepan,padahal udah lama make dana dan transaksi banyak,sampe skrg ga muncul dana cicil tolong di aktifkan dana cicil saya",1,7/5/2025 12:31,"saya sudah sering transaksi dan dana saya sudah premium,kenapa setiap saya minta muncul kan dana cicil jawaban nya trus tunggu 30 hari kedepan,padahal udah lama make dana dan transaksi banyak,sampe skrg ga muncul dana cicil tolong di aktifkan dana cicil saya",saya sudah sering transaksi dan dana saya sudah premiumkenapa setiap saya minta muncul kan dana cicil jawaban nya trus tunggu hari kedepanpadahal udah lama make dana dan transaksi banyaksampe skrg ga muncul dana cicil tolong di aktifkan dana cicil saya,sering transaksi dana premiumkenapa minta muncul kan dana cicil jawaban nya trus tunggu hari kedepanpadahal udah lama make dana transaksi banyaksampe skrg ga muncul dana cicil aktifkan dana cicil,"['sering', 'transaksi', 'dana', 'premiumkenapa', 'minta', 'muncul', 'kan', 'dana', 'cicil', 'jawaban', 'nya', 'trus', 'tunggu', 'hari', 'kedepanpadahal', 'udah', 'lama', 'make', 'dana', 'transaksi', 'banyaksampe', 'skrg', 'ga', 'muncul', 'dana', 'cicil', 'aktifkan', 'dana', 'cicil']",sering transaksi dana premiumkenapa minta muncul kan dana cicil jawab nya trus tunggu hari kedepanpadahal udah lama make dana transaksi banyaksampe skrg ga muncul dana cicil aktif dana cicil
Dicky Shr,Saya sangat kecewa uang di dana tiba2 ilang ada yang ngambil. mungkin pihak2 yg tidak bertanggung jawab. bagi Saya orang kecil uang segitu banyak. gmna tanggapan pihak apk dana tentang semua ini.. mlm ada yang ngirim pagi2 ada yg ngambil padahal saya tidak melakukan aktipitas di apk dana. gmna pihak dana.. siapa yg bertanggung jawab,5,7/5/2025 12:29,saya sangat kecewa uang di dana tiba2 ilang ada yang ngambil. mungkin pihak2 yg tidak bertanggung jawab. bagi saya orang kecil uang segitu banyak. gmna tanggapan pihak apk dana tentang semua ini.. mlm ada yang ngirim pagi2 ada yg ngambil padahal saya tidak melakukan aktipitas di apk dana. gmna pihak dana.. siapa yg bertanggung jawab,saya sangat kecewa uang di dana tiba ilang ada yang ngambil mungkin pihak yg tidak bertanggung jawab bagi saya orang kecil uang segitu banyak gmna tanggapan pihak apk dana tentang semua ini mlm ada yang ngirim pagi ada yg ngambil padahal saya tidak melakukan aktipitas di apk dana gmna pihak dana siapa yg bertanggung jawab,sangat kecewa uang dana tiba ilang ngambil mungkin pihak yg bertanggung jawab orang kecil uang segitu banyak gmna tanggapan pihak apk dana semua mlm ngirim pagi yg ngambil padahal melakukan aktipitas apk dana gmna pihak dana siapa yg bertanggung jawab,"['sangat', 'kecewa', 'uang', 'dana', 'tiba', 'ilang', 'ngambil', 'mungkin', 'pihak', 'yg', 'bertanggung', 'jawab', 'orang', 'kecil', 'uang', 'segitu', 'banyak', 'gmna', 'tanggapan', 'pihak', 'apk', 'dana', 'semua', 'mlm', 'ngirim', 'pagi', 'yg', 'ngambil', 'padahal', 'melakukan', 'aktipitas', 'apk', 'dana', 'gmna', 'pihak', 'dana', 'siapa', 'yg', 'bertanggung', 'jawab']",sangat kecewa uang dana tiba ilang ngambil mungkin pihak yg tanggung jawab orang kecil uang segitu banyak gmna tanggap pihak apk dana semua mlm ngirim pagi yg ngambil padahal laku aktipitas apk dana gmna pihak dana siapa yg tanggung jawab
Heri Ky,Sangat aman jika menyimpan uang 🙏 thanks DANA.,5,7/5/2025 12:28,sangat aman jika menyimpan uang 🙏 thanks dana.,sangat aman jika menyimpan uang thanks dana,sangat aman menyimpan uang thanks dana,"['sangat', 'aman', 'menyimpan', 'uang', 'thanks', 'dana']",sangat aman simpan uang thanks dana
Edi Restanto,Hay pihak dana knp dana saya selalu di bekukan padahal saya tidak tau salahnya di mana,1,7/5/2025 12:26,hay pihak dana knp dana saya selalu di bekukan padahal saya tidak tau salahnya di mana,hay pihak dana knp dana saya selalu di bekukan padahal saya tidak tau salahnya di mana,hay pihak dana knp dana selalu bekukan padahal tau salahnya mana,"['hay', 'pihak', 'dana', 'knp', 'dana', 'selalu', 'bekukan', 'padahal', 'tau', 'salahnya', 'mana']",hay pihak dana knp dana selalu beku padahal tau salah mana
Nofal Habibi132,kecewa sama pihak dana saya sering transaksi menggunakan dana tapi sampai sekarang belum ada fitur dana cicil.,1,7/5/2025 12:21,kecewa sama pihak dana saya sering transaksi menggunakan dana tapi sampai sekarang belum ada fitur dana cicil.,kecewa sama pihak dana saya sering transaksi menggunakan dana tapi sampai sekarang belum ada fitur dana cicil,kecewa sama pihak dana sering transaksi menggunakan dana sekarang fitur dana cicil,"['kecewa', 'sama', 'pihak', 'dana', 'sering', 'transaksi', 'menggunakan', 'dana', 'sekarang', 'fitur', 'dana', 'cicil']",kecewa sama pihak dana sering transaksi guna dana sekarang fitur dana cicil
ulat nangko,"pertama saya pakai aplikasi DANA, saya sangat suka, tapi skrng saya kurang puas Krn setiap top up 2 juta, harus 4 x, sekali top up di beban 1500, klu 4 x udah berapa,k y kasi ranting 3 bintang",3,7/5/2025 12:20,"pertama saya pakai aplikasi dana, saya sangat suka, tapi skrng saya kurang puas krn setiap top up 2 juta, harus 4 x, sekali top up di beban 1500, klu 4 x udah berapa,k y kasi ranting 3 bintang",pertama saya pakai aplikasi dana saya sangat suka tapi skrng saya kurang puas krn setiap top up juta harus x sekali top up di beban klu x udah berapak y kasi ranting bintang,pertama pakai aplikasi dana sangat suka skrng kurang puas krn top up juta x sekali top up beban klu x udah berapak y kasi ranting bintang,"['pertama', 'pakai', 'aplikasi', 'dana', 'sangat', 'suka', 'skrng', 'kurang', 'puas', 'krn', 'top', 'up', 'juta', 'x', 'sekali', 'top', 'up', 'beban', 'klu', 'x', 'udah', 'berapak', 'y', 'kasi', 'ranting', 'bintang']",pertama pakai aplikasi dana sangat suka skrng kurang puas krn top up juta x sekali top up beban klu x udah apak y kasi ranting bintang
Mia Restiani,semoga aman dn TDK ada pencuri atau kebobolan,5,7/5/2025 12:09,semoga aman dn tdk ada pencuri atau kebobolan,semoga aman dn tdk ada pencuri atau kebobolan,semoga aman dn tdk pencuri kebobolan,"['semoga', 'aman', 'dn', 'tdk', 'pencuri', 'kebobolan']",moga aman dn tdk curi bobol
riki riki,aplikasi bagus aku Uda punya 100jt di apk ini,5,7/5/2025 12:09,aplikasi bagus aku uda punya 100jt di apk ini,aplikasi bagus aku uda punya jt di apk ini,aplikasi bagus aku uda punya jt apk,"['aplikasi', 'bagus', 'aku', 'uda', 'punya', 'jt', 'apk']",aplikasi bagus aku uda punya jt apk
Norhakim Irpan,penipuan!! uang di akun yg sudah tidak aktif tidak bisa di ambil itu akun saya sendiri,1,7/5/2025 12:08,penipuan!! uang di akun yg sudah tidak aktif tidak bisa di ambil itu akun saya sendiri,penipuan uang di akun yg sudah tidak aktif tidak bisa di ambil itu akun saya sendiri,penipuan uang akun yg aktif ambil akun sendiri,"['penipuan', 'uang', 'akun', 'yg', 'aktif', 'ambil', 'akun', 'sendiri']",tipu uang akun yg aktif ambil akun sendiri
Arsita Salsabilla,kk knpa aplikasi dana saya tidak bisa di buka ketika menginstal kok lambat bget.pdhal jaringan bagus,5,7/5/2025 12:08,kk knpa aplikasi dana saya tidak bisa di buka ketika menginstal kok lambat bget.pdhal jaringan bagus,kk knpa aplikasi dana saya tidak bisa di buka ketika menginstal kok lambat bgetpdhal jaringan bagus,kk knpa aplikasi dana buka menginstal kok lambat bgetpdhal jaringan bagus,"['kk', 'knpa', 'aplikasi', 'dana', 'buka', 'menginstal', 'kok', 'lambat', 'bgetpdhal', 'jaringan', 'bagus']",kk knpa aplikasi dana buka menginstal kok lambat bgetpdhal jaring bagus
Silvia Dasi,sangat membantu dalam bertransaksi,5,7/5/2025 12:04,sangat membantu dalam bertransaksi,sangat membantu dalam bertransaksi,sangat membantu bertransaksi,"['sangat', 'membantu', 'bertransaksi']",sangat bantu transaksi
Bintang Asshidiq,ketika login koneksi jaringan terputus.padahal signal dan kuota internet bagus dan baru di isi,1,7/5/2025 12:03,ketika login koneksi jaringan terputus.padahal signal dan kuota internet bagus dan baru di isi,ketika login koneksi jaringan terputuspadahal signal dan kuota internet bagus dan baru di isi,login koneksi jaringan terputuspadahal signal kuota internet bagus baru isi,"['login', 'koneksi', 'jaringan', 'terputuspadahal', 'signal', 'kuota', 'internet', 'bagus', 'baru', 'isi']",login koneksi jaring terputuspadahal signal kuota internet bagus baru isi
Riki Irawan,mudah di gunakan,4,7/5/2025 12:03,mudah di gunakan,mudah di gunakan,mudah gunakan,"['mudah', 'gunakan']",mudah guna
Adjie 86,pemindahan akun selalu gagal,4,7/5/2025 11:59,pemindahan akun selalu gagal,pemindahan akun selalu gagal,pemindahan akun selalu gagal,"['pemindahan', 'akun', 'selalu', 'gagal']",pindah akun selalu gagal
Tuty Pitriana,transaksi yg baik untuk semua aplikasi,4,7/5/2025 11:59,transaksi yg baik untuk semua aplikasi,transaksi yg baik untuk semua aplikasi,transaksi yg baik semua aplikasi,"['transaksi', 'yg', 'baik', 'semua', 'aplikasi']",transaksi yg baik semua aplikasi
Ambar Nugraha,saya sudah 2x kehilangan uang dengan aktifitas alasan refund mandiri 29rb 2x pemotongan terus tp yg pertama pengajuan saya di tolak saya kecewa dan skr kejadian lg uang saya hilang dengan nominal uang yg sama hilang nya dgn kejadian yg pertama padahal akun saya sudah aman dana protection tp masih aja kebobolan padahal saya tidak ngeklik dan belanja apapun masa kejadian yg skr uang saya di tolak lg dan hilang begitu aja tidak ada solusi dr pihak aplikator ..,1,7/5/2025 11:54,saya sudah 2x kehilangan uang dengan aktifitas alasan refund mandiri 29rb 2x pemotongan terus tp yg pertama pengajuan saya di tolak saya kecewa dan skr kejadian lg uang saya hilang dengan nominal uang yg sama hilang nya dgn kejadian yg pertama padahal akun saya sudah aman dana protection tp masih aja kebobolan padahal saya tidak ngeklik dan belanja apapun masa kejadian yg skr uang saya di tolak lg dan hilang begitu aja tidak ada solusi dr pihak aplikator ..,saya sudah x kehilangan uang dengan aktifitas alasan refund mandiri rb x pemotongan terus tp yg pertama pengajuan saya di tolak saya kecewa dan skr kejadian lg uang saya hilang dengan nominal uang yg sama hilang nya dgn kejadian yg pertama padahal akun saya sudah aman dana protection tp masih aja kebobolan padahal saya tidak ngeklik dan belanja apapun masa kejadian yg skr uang saya di tolak lg dan hilang begitu aja tidak ada solusi dr pihak aplikator,x kehilangan uang aktifitas alasan refund mandiri rb x pemotongan terus tp yg pertama pengajuan tolak kecewa skr kejadian lg uang hilang nominal uang yg sama hilang nya dgn kejadian yg pertama padahal akun aman dana protection tp aja kebobolan padahal ngeklik belanja apapun masa kejadian yg skr uang tolak lg hilang aja solusi dr pihak aplikator,"['x', 'kehilangan', 'uang', 'aktifitas', 'alasan', 'refund', 'mandiri', 'rb', 'x', 'pemotongan', 'terus', 'tp', 'yg', 'pertama', 'pengajuan', 'tolak', 'kecewa', 'skr', 'kejadian', 'lg', 'uang', 'hilang', 'nominal', 'uang', 'yg', 'sama', 'hilang', 'nya', 'dgn', 'kejadian', 'yg', 'pertama', 'padahal', 'akun', 'aman', 'dana', 'protection', 'tp', 'aja', 'kebobolan', 'padahal', 'ngeklik', 'belanja', 'apapun', 'masa', 'kejadian', 'yg', 'skr', 'uang', 'tolak', 'lg', 'hilang', 'aja', 'solusi', 'dr', 'pihak', 'aplikator']",x hilang uang aktifitas alas refund mandiri rb x potong terus tp yg pertama aju tolak kecewa skr jadi lg uang hilang nominal uang yg sama hilang nya dgn jadi yg pertama padahal akun aman dana protection tp aja bobol padahal ngeklik belanja apa masa jadi yg skr uang tolak lg hilang aja solusi dr pihak aplikator
Marzuki Zuki,Mantap,5,7/5/2025 11:53,mantap,mantap,mantap,['mantap'],mantap
Rusdiyanto Rusdi,baik,5,7/5/2025 11:52,baik,baik,baik,['baik'],baik
Ajeng Fatmawati13,mohon maaf sebelumnya saya kemarin mau membayar pesanan saya di shoope lewat dana tp kenapa tidak bisa diklik ya shoope di e-commerce. mohon untuk pihak dana agar diperbaiki lgy dan nanti agar bisa digunakan kembali🙏trimakasih,4,7/5/2025 11:51,mohon maaf sebelumnya saya kemarin mau membayar pesanan saya di shoope lewat dana tp kenapa tidak bisa diklik ya shoope di e-commerce. mohon untuk pihak dana agar diperbaiki lgy dan nanti agar bisa digunakan kembali🙏trimakasih,mohon maaf sebelumnya saya kemarin mau membayar pesanan saya di shoope lewat dana tp kenapa tidak bisa diklik ya shoope di ecommerce mohon untuk pihak dana agar diperbaiki lgy dan nanti agar bisa digunakan kembalitrimakasih,mohon maaf sebelumnya kemarin mau membayar pesanan shoope lewat dana tp diklik shoope ecommerce mohon pihak dana diperbaiki lgy digunakan kembalitrimakasih,"['mohon', 'maaf', 'sebelumnya', 'kemarin', 'mau', 'membayar', 'pesanan', 'shoope', 'lewat', 'dana', 'tp', 'diklik', 'shoope', 'ecommerce', 'mohon', 'pihak', 'dana', 'diperbaiki', 'lgy', 'digunakan', 'kembalitrimakasih']",mohon maaf belum kemarin mau bayar pesan shoope lewat dana tp klik shoope ecommerce mohon pihak dana baik lgy guna kembalitrimakasih
Zuga 99,bagus sekali,5,7/5/2025 11:50,bagus sekali,bagus sekali,bagus sekali,"['bagus', 'sekali']",bagus sekali
MUHAMMAD BAYU SAMUDRA,"saya lama menggunakan DANA tapi baru kali ini saldo tiba"" hilang sendiri ntah kemana tiba ada transaksi padahal saya tidak melakukannya , pakai pusat bantuan gak ada respon sama sekali sudah kirim bukti juga saldo gak kembali nb: untuk pengguna DANA waspada DANA sudah tidak aman lagi mending pakai selain DANA. DANA CICIL SAYA BELUM MUNCUL",1,7/5/2025 11:49,"saya lama menggunakan dana tapi baru kali ini saldo tiba"" hilang sendiri ntah kemana tiba ada transaksi padahal saya tidak melakukannya , pakai pusat bantuan gak ada respon sama sekali sudah kirim bukti juga saldo gak kembali nb: untuk pengguna dana waspada dana sudah tidak aman lagi mending pakai selain dana. dana cicil saya belum muncul",saya lama menggunakan dana tapi baru kali ini saldo tiba hilang sendiri ntah kemana tiba ada transaksi padahal saya tidak melakukannya pakai pusat bantuan gak ada respon sama sekali sudah kirim bukti juga saldo gak kembali nb untuk pengguna dana waspada dana sudah tidak aman lagi mending pakai selain dana dana cicil saya belum muncul,lama menggunakan dana baru kali saldo tiba hilang sendiri ntah tiba transaksi padahal melakukannya pakai pusat bantuan gak respon sama sekali kirim bukti saldo gak nb pengguna dana waspada dana aman mending pakai dana dana cicil muncul,"['lama', 'menggunakan', 'dana', 'baru', 'kali', 'saldo', 'tiba', 'hilang', 'sendiri', 'ntah', 'tiba', 'transaksi', 'padahal', 'melakukannya', 'pakai', 'pusat', 'bantuan', 'gak', 'respon', 'sama', 'sekali', 'kirim', 'bukti', 'saldo', 'gak', 'nb', 'pengguna', 'dana', 'waspada', 'dana', 'aman', 'mending', 'pakai', 'dana', 'dana', 'cicil', 'muncul']",lama guna dana baru kali saldo tiba hilang sendiri ntah tiba transaksi padahal laku pakai pusat bantu gak respon sama sekali kirim bukti saldo gak nb guna dana waspada dana aman mending pakai dana dana cicil muncul
Akbar Akbar,baguss sekali,5,7/5/2025 11:47,baguss sekali,baguss sekali,baguss sekali,"['baguss', 'sekali']",baguss sekali
muhammadjamil kimink123,susah tf,5,7/5/2025 11:46,susah tf,susah tf,susah tf,"['susah', 'tf']",susah tf
Nofra Ramadhani,"minta tolong pengembalian dana, udh cha cs, di chat du ig, tapi kok dibls akun lain, gunanya dana protection buat apa dong, gak melindungi sama sekali, cek noh ig biar dikirim buktinya kayak gimana, di tf 500 yg masuk notifnya doang, dananya gak masuk dari tdi malam",1,7/5/2025 11:45,"minta tolong pengembalian dana, udh cha cs, di chat du ig, tapi kok dibls akun lain, gunanya dana protection buat apa dong, gak melindungi sama sekali, cek noh ig biar dikirim buktinya kayak gimana, di tf 500 yg masuk notifnya doang, dananya gak masuk dari tdi malam",minta tolong pengembalian dana udh cha cs di chat du ig tapi kok dibls akun lain gunanya dana protection buat apa dong gak melindungi sama sekali cek noh ig biar dikirim buktinya kayak gimana di tf yg masuk notifnya doang dananya gak masuk dari tdi malam,minta pengembalian dana udh cha cs chat du ig kok dibls akun gunanya dana protection buat apa dong gak melindungi sama sekali cek noh ig biar dikirim buktinya kayak gimana tf yg masuk notifnya doang dananya gak masuk tdi malam,"['minta', 'pengembalian', 'dana', 'udh', 'cha', 'cs', 'chat', 'du', 'ig', 'kok', 'dibls', 'akun', 'gunanya', 'dana', 'protection', 'buat', 'apa', 'dong', 'gak', 'melindungi', 'sama', 'sekali', 'cek', 'noh', 'ig', 'biar', 'dikirim', 'buktinya', 'kayak', 'gimana', 'tf', 'yg', 'masuk', 'notifnya', 'doang', 'dananya', 'gak', 'masuk', 'tdi', 'malam']",minta kembali dana udh cha cs chat du ig kok dibls akun guna dana protection buat apa dong gak lindung sama sekali cek noh ig biar kirim bukti kayak gimana tf yg masuk notifnya doang dana gak masuk tdi malam
SKn5 Club Natar (vtc),cukup aman,5,7/5/2025 11:44,cukup aman,cukup aman,cukup aman,"['cukup', 'aman']",cukup aman
Yudi Setiadi,sangat tepat,5,7/5/2025 11:42,sangat tepat,sangat tepat,sangat tepat,"['sangat', 'tepat']",sangat tepat
Diana Arista,sangat membantu,5,7/5/2025 11:42,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",sangat bantu
Neti Umasugi,sangat membantu untuk transaksi,5,7/5/2025 11:38,sangat membantu untuk transaksi,sangat membantu untuk transaksi,sangat membantu transaksi,"['sangat', 'membantu', 'transaksi']",sangat bantu transaksi
Farit Danu,meminta fitur dana instant di munculkan,5,7/5/2025 11:37,meminta fitur dana instant di munculkan,meminta fitur dana instant di munculkan,meminta fitur dana instant munculkan,"['meminta', 'fitur', 'dana', 'instant', 'munculkan']",minta fitur dana instant muncul
Alfret Arson Nawipa,kenapa Aplikasinya Tidak terhubung ke internet sehingga Gagal. masuk aplikasi,5,7/5/2025 11:37,kenapa aplikasinya tidak terhubung ke internet sehingga gagal. masuk aplikasi,kenapa aplikasinya tidak terhubung ke internet sehingga gagal masuk aplikasi,aplikasinya terhubung internet gagal masuk aplikasi,"['aplikasinya', 'terhubung', 'internet', 'gagal', 'masuk', 'aplikasi']",aplikasi hubung internet gagal masuk aplikasi
Angelica Lewar,perfect dana.. terima kasih sudah membantu,5,7/5/2025 11:35,perfect dana.. terima kasih sudah membantu,perfect dana terima kasih sudah membantu,perfect dana terima kasih membantu,"['perfect', 'dana', 'terima', 'kasih', 'membantu']",perfect dana terima kasih bantu
Muhammad Zainun,"dari tgl 1 Feb.2025 sampai sekarang tgl 4 Juli 2025 sudah 7 kali transaksi QRIS yang tidak saya lakukan sehingga saldo saya berkurang. saya sudah komplain ke 'Diana' tapi hasilnya tetap duit saya tidak kembali, dan sekarang hampir semua uang saya di Dana saya tarik, saya tidak percaya lagi ke Dana, terutama QRIS. 😀",1,7/5/2025 11:34,"dari tgl 1 feb.2025 sampai sekarang tgl 4 juli 2025 sudah 7 kali transaksi qris yang tidak saya lakukan sehingga saldo saya berkurang. saya sudah komplain ke 'diana' tapi hasilnya tetap duit saya tidak kembali, dan sekarang hampir semua uang saya di dana saya tarik, saya tidak percaya lagi ke dana, terutama qris. 😀",dari tgl feb sampai sekarang tgl juli sudah kali transaksi qris yang tidak saya lakukan sehingga saldo saya berkurang saya sudah komplain ke diana tapi hasilnya tetap duit saya tidak kembali dan sekarang hampir semua uang saya di dana saya tarik saya tidak percaya lagi ke dana terutama qris,tgl feb sekarang tgl juli kali transaksi qris lakukan saldo berkurang komplain diana hasilnya tetap duit sekarang hampir semua uang dana tarik percaya dana terutama qris,"['tgl', 'feb', 'sekarang', 'tgl', 'juli', 'kali', 'transaksi', 'qris', 'lakukan', 'saldo', 'berkurang', 'komplain', 'diana', 'hasilnya', 'tetap', 'duit', 'sekarang', 'hampir', 'semua', 'uang', 'dana', 'tarik', 'percaya', 'dana', 'terutama', 'qris']",tgl feb sekarang tgl juli kali transaksi qris laku saldo kurang komplain ana hasil tetap duit sekarang hampir semua uang dana tarik percaya dana utama qris
Kamal Insan,Kecewa banget sumpah saya udah nunggu 3 hari belom masuk masuk uang nya tolong kepada pihak dana tolong bantuannya. Terimakasi,1,7/5/2025 11:34,kecewa banget sumpah saya udah nunggu 3 hari belom masuk masuk uang nya tolong kepada pihak dana tolong bantuannya. terimakasi,kecewa banget sumpah saya udah nunggu hari belom masuk masuk uang nya tolong kepada pihak dana tolong bantuannya terimakasi,kecewa banget sumpah udah nunggu hari belom masuk masuk uang nya pihak dana bantuannya terimakasi,"['kecewa', 'banget', 'sumpah', 'udah', 'nunggu', 'hari', 'belom', 'masuk', 'masuk', 'uang', 'nya', 'pihak', 'dana', 'bantuannya', 'terimakasi']",kecewa banget sumpah udah nunggu hari bom masuk masuk uang nya pihak dana bantu terimakasi
Candra Purnama sidik,"woy knp ini knp tiba"" hilang saldoku 500 ribu,anehh padahal ga di apaapain,plis lahh ke amananya tingkatkan aplikasi resmi ke amanan ga bnr",1,7/5/2025 11:31,"woy knp ini knp tiba"" hilang saldoku 500 ribu,anehh padahal ga di apaapain,plis lahh ke amananya tingkatkan aplikasi resmi ke amanan ga bnr",woy knp ini knp tiba hilang saldoku ribuanehh padahal ga di apaapainplis lahh ke amananya tingkatkan aplikasi resmi ke amanan ga bnr,woy knp knp tiba hilang saldoku ribuanehh padahal ga apaapainplis lahh amananya tingkatkan aplikasi resmi amanan ga bnr,"['woy', 'knp', 'knp', 'tiba', 'hilang', 'saldoku', 'ribuanehh', 'padahal', 'ga', 'apaapainplis', 'lahh', 'amananya', 'tingkatkan', 'aplikasi', 'resmi', 'amanan', 'ga', 'bnr']",woy knp knp tiba hilang saldo ribuanehh padahal ga apaapainplis lahh amananya tingkat aplikasi resmi aman ga bnr
